timestamp             time              lon               lat               alt               heading           pitch             roll              vn                vh                ve                lon_sns           lat_sns           alt_sns           heading_sns       pitch_sns         roll_sns          vn_sns            vh_sns            ve_sns            dlat_rad          dlon_rad          dh_m              dVn               dVh               dVe               dpsi_rad          dtheta_rad        dphi_rad          ba_x              ba_y              ba_z              bg_x              bg_y              bg_z              dN_m              dE_m              
00:00:00.006000128    0.00600013        -122.14016500     47.64146800       123.64560861      -0.07406994       0.00049107        0.00506302        -0.00000067       0.49283854        -0.00000091       -122.14016500     47.64146800       123.64349365      -0.00000000       0.00000000        0.00000000        0.00000000        0.49481452        0.00000000        -6.21339405e-14   -7.13208608e-14   -2.11806736e-03   -2.24704538e-04   -4.93991650e-01   -9.75764852e-05   -2.90871958e-01   5.80443392e-09    -5.25190792e-09   -2.17516858e-12   -1.06704750e-08   -4.85877330e-12   3.10408401e-15    2.54639113e-10    -2.52967992e-14   -3.95855335e-07   -3.06150097e-07   
00:00:00.258005504    0.25800550        -122.14016500     47.64146800       123.64651850      -0.02621855       -0.02492717       0.01595314        -0.00665410       0.20191115        -0.00456407       -122.14016500     47.64146800       123.68193054      -0.00000000       0.00000000        0.00000000        0.00000000        -0.06292345       0.00000000        -2.61709968e-10   -2.66992899e-10   5.76324960e-02    -6.32743868e-03   2.63854172e-01    -4.44885849e-03   -4.56611867e-04   7.39509706e-05    -4.43805575e-05   -1.50743791e-06   6.00714041e-05    -1.04254586e-06   7.69389382e-10    3.78624101e-09    -1.28235568e-09   -1.66735420e-03   -1.14608687e-03   
00:00:00.297006336    0.29700634        -122.14016500     47.64146800       123.65965711      -0.02384762       -0.02713982       0.01349275        -0.00735606       0.20799520        -0.00480583       -122.14016500     47.64146800       123.68193054      -0.00000000       0.00000000        0.00000000        0.00000000        -0.06292345       0.00000000        -3.10430008e-13   4.89281076e-13    4.73151927e-09    2.97032129e-05    -6.62585546e-09   -3.15290568e-05   -5.93567584e-09   0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -1.97774958e-06   2.10027539e-06    
00:00:00.321006848    0.32100685        -122.14016501     47.64146799       123.66470032      -0.02349520       -0.02919893       0.01261125        -0.00785277       0.21226344        -0.00411229       -122.14016500     47.64146800       123.68193054      -0.00000000       0.00000000        0.00000000        0.00000000        -0.06292345       0.00000000        -3.03748914e-13   3.70778899e-13    2.46861696e-09    4.77384708e-05    2.59701135e-08    -3.81946158e-05   -8.19138586e-09   0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -1.93518433e-06   1.59159599e-06    
00:00:00.327006976    0.32700698        -122.14016501     47.64146799       123.66597768      -0.02352995       -0.02954396       0.01310221        -0.00783624       0.21351315        -0.00416211       -122.14016500     47.64146800       123.68193054      -0.00000000       0.00000000        0.00000000        0.00000000        -0.06292345       0.00000000        -2.71269550e-13   2.84098978e-13    4.04542066e-10    5.03669443e-05    4.00867486e-08    -3.34633154e-05   -8.11623741e-09   0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -1.72825830e-06   1.21951598e-06    
00:00:00.333007104    0.33300710        -122.14016501     47.64146799       123.66726172      -0.02393169       -0.02936465       0.01278861        -0.00755658       0.21449057        -0.00425066       -122.14016500     47.64146800       123.68193054      -0.00000000       0.00000000        0.00000000        0.00000000        -0.06292345       0.00000000        -2.19745903e-13   2.43509040e-13    1.24047740e-09    4.92592102e-05    3.59874536e-08    -3.45939820e-05   -8.08912666e-09   0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -1.40000115e-06   1.04528066e-06    
00:00:00.585012480    0.58501248        -122.14016501     47.64146799       123.67191420      -0.03254465       -0.02713199       0.02267861        -0.00121966       0.14769027        -0.00488123       -122.14016500     47.64146800       123.66353607      -0.00000000       0.00000000        0.00000000        0.00000000        -0.04741045       0.00000000        -1.24774951e-10   -3.20189000e-10   5.32637856e-02    -6.29584826e-04   9.74622523e-02    -2.49203867e-03   -2.83275664e-04   6.72522444e-06    -3.02044204e-05   -5.22549160e-07   7.95862841e-05    -1.99753401e-06   9.77434597e-10    8.48075500e-09    -1.07732819e-10   -7.94941215e-04   -1.37443509e-03   
00:00:00.591012608    0.59101261        -122.14016501     47.64146799       123.67309544      -0.03327488       -0.02698921       0.02319257        -0.00126091       0.14858426        -0.00509345       -122.14016500     47.64146800       123.66353607      -0.00000000       0.00000000        0.00000000        0.00000000        -0.04741045       0.00000000        5.58756734e-15    -3.41187113e-14   -1.91780020e-09   -8.36232427e-07   9.49859738e-09    3.44593803e-06    4.59398598e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.55983915e-08    -1.46457105e-07   
00:00:00.600012800    0.60001280        -122.14016501     47.64146799       123.67443833      -0.03360363       -0.02735004       0.02385745        -0.00134577       0.14982794        -0.00539772       -122.14016500     47.64146800       123.66353607      -0.00000000       0.00000000        0.00000000        0.00000000        -0.04741045       0.00000000        -6.79669800e-15   -6.17945762e-14   -4.55556328e-09   1.35779250e-06    2.67204931e-08    8.04602594e-06    4.79095480e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    -4.33017629e-08   -2.65257813e-07   
00:00:00.606012928    0.60601293        -122.14016501     47.64146799       123.67533911      -0.03353574       -0.02702181       0.02414209        -0.00113212       0.15042709        -0.00563687       -122.14016500     47.64146800       123.66353607      -0.00000000       0.00000000        0.00000000        0.00000000        -0.04741045       0.00000000        2.50676119e-15    -6.38873929e-14   -5.33865323e-09   -6.02202253e-07   3.13288662e-08    1.02442435e-05    1.00229460e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.59705755e-08    -2.74241384e-07   
