time              dlat_rad          dlon_rad          dh_m              dVn               dVh               dVe               dpsi_rad          dtheta_rad        dphi_rad          ba_x              ba_y              ba_z              bg_x              bg_y              bg_z              dN_m              dE_m              
4.41909427e+00    -8.79442542e-11   2.51563534e-10    5.25964177e-02    -5.60960158e-04   2.42909333e-02    7.20411001e-04    -7.05893928e-06   1.19782268e-05    1.55794305e-05    -6.06375420e-06   7.23766835e-04    7.70299272e-06    1.01710338e-07    8.85890562e-09    6.92871119e-08    -5.60292843e-04   1.07985517e-03    
4.44009472e+00    -6.96748669e-11   1.97867101e-10    4.34068780e-02    -5.00422093e-04   2.16733781e-02    6.05388838e-04    -5.24048125e-06   1.07055661e-05    1.31259017e-05    -5.42562354e-06   6.51794318e-04    6.46214065e-06    8.75057355e-08    6.64545074e-09    6.33679364e-08    -4.43898577e-04   8.49359240e-04    
4.64709914e+00    -5.72507948e-11   6.98838073e-11    4.31676549e-02    -4.31460369e-04   1.99637700e-02    1.68853975e-04    8.29600812e-06    8.28301865e-06    3.23324450e-06    -4.05781060e-06   6.55860877e-04    1.10608368e-06    2.77952998e-08    -1.16783994e-08   6.03924317e-08    -3.64744814e-04   2.99981438e-04    
4.86010368e+00    -4.34626862e-11   5.58526651e-11    4.24344516e-02    -3.33365182e-04   1.82657563e-02    1.55799178e-04    1.37839281e-05    6.06553843e-06    1.57935579e-06    -2.94415798e-06   6.52629406e-04    4.05570222e-07    1.41717118e-08    -2.14754975e-08   5.08623194e-08    -2.76900774e-04   2.39751717e-04    
4.87810406e+00    -3.52631000e-11   5.23069530e-11    3.59885350e-02    -2.62831873e-04   1.65560162e-02    9.81347322e-05    1.16754012e-05    5.79259466e-06    2.19627178e-06    -2.94141461e-06   5.95768555e-04    8.51351414e-07    1.89981764e-08    -1.83406397e-08   4.78064849e-08    -2.24661210e-04   2.24531484e-04    
5.07310822e+00    -1.26271124e-10   1.36171162e-10    3.54618245e-02    -6.76993270e-04   1.52840782e-02    3.70310363e-04    1.36094066e-05    1.49811153e-05    8.12438575e-06    -8.08776258e-06   5.92338457e-04    4.24658051e-06    8.20163934e-08    -2.34358391e-08   1.50957178e-07    -8.04473331e-04   5.84524835e-04    
5.08810854e+00    -9.78805140e-11   1.08121090e-10    3.02947734e-02    -5.73745541e-04   1.38991937e-02    3.08657429e-04    1.24053793e-05    1.26544510e-05    6.68149023e-06    -6.88684947e-06   5.41778040e-04    3.48819810e-06    6.76366149e-08    -2.15123299e-08   1.27519892e-07    -6.23596755e-04   4.64117816e-04    
5.28311270e+00    -8.20292855e-11   3.23064006e-10    2.93482369e-02    -4.85151773e-04   1.25772230e-02    9.66944904e-04    1.07733726e-05    9.68561120e-06    2.09524231e-05    -5.43143680e-06   5.26571398e-04    1.28335695e-05    2.29585687e-07    -2.04576480e-08   1.08187185e-07    -5.22608578e-04   1.38677627e-03    
5.31911347e+00    -7.97922775e-11   2.87212734e-10    2.58324525e-02    -4.52773849e-04   1.15506041e-02    8.95120775e-04    7.52397941e-06    9.76241557e-06    1.88427384e-05    -5.94236549e-06   4.89894191e-04    1.23213645e-05    2.00544216e-07    -1.45244312e-08   1.05660100e-07    -5.08356600e-04   1.23288201e-03    
5.49311718e+00    -4.29058583e-11   2.71327567e-10    2.53758956e-02    -2.70960001e-04   1.07372285e-02    8.16074647e-04    2.63215101e-05    5.28917596e-06    1.69087670e-05    -3.07362528e-06   4.83827613e-04    1.10033758e-05    2.04992307e-07    -5.49316055e-08   6.35226825e-08    -2.73353223e-04   1.16469375e-03    
5.70312166e+00    -5.44029661e-11   2.62935570e-10    2.57151308e-02    -2.68150476e-04   1.01176153e-02    7.43360058e-04    3.87131312e-05    6.17226331e-06    1.50852551e-05    -3.77351157e-06   4.87602512e-04    1.00147432e-05    2.05424569e-07    -8.83796998e-08   8.28791366e-08    -3.46601297e-04   1.12867048e-03    
5.74812262e+00    -3.76721752e-11   2.32002512e-10    2.31084578e-02    -2.15525754e-04   9.38895784e-03    6.51664185e-04    3.72561046e-05    4.37237157e-06    1.35951597e-05    -2.71270804e-06   4.58848688e-04    9.49648774e-06    1.83425510e-07    -8.66636702e-08   5.79904141e-08    -2.40009428e-04   9.95888030e-04    
5.95212698e+00    -6.29388234e-11   3.18247057e-10    2.39665301e-02    -3.38153365e-04   9.15463817e-03    8.37314668e-04    4.34540393e-05    6.19975687e-06    1.86484362e-05    -3.97816432e-06   4.75240052e-04    1.31235033e-05    2.83666755e-07    -1.09928354e-07   9.35598045e-08    -4.00983244e-04   1.36609915e-03    
6.16513152e+00    -2.03964204e-11   2.93612862e-10    2.46423244e-02    -1.27808831e-04   8.86110709e-03    7.50281955e-04    3.78246715e-05    1.92169519e-06    1.53975024e-05    -8.34266610e-07   4.87065566e-04    1.12569976e-05    2.54719351e-07    -1.04009748e-07   3.17558042e-08    -1.29945594e-04   1.26035504e-03    
6.36913587e+00    -2.08884142e-10   1.56496954e-10    2.46297235e-02    -8.47783166e-04   8.40747879e-03    3.58933038e-04    3.76761875e-05    1.84320901e-05    6.05880832e-06    -1.38702573e-05   4.85671733e-04    4.49537216e-06    1.06950643e-07    -1.11412581e-07   3.26185973e-07    -1.33080087e-03   6.71774809e-04    
6.57914035e+00    -4.12788541e-10   7.49968062e-11    2.44439689e-02    -1.59735992e-03   7.91614664e-03    9.90062449e-05    2.66704555e-05    3.46435679e-05    1.77182845e-06    -2.67701866e-05   4.79052402e-04    1.01303247e-06    3.50200755e-08    -8.45558315e-08   6.68569678e-07    -2.62987579e-03   3.21929367e-04    
6.60314086e+00    -3.62057444e-10   4.99310579e-11    2.20164733e-02    -1.49474496e-03   7.37384911e-03    3.28603951e-05    2.46606557e-05    3.12026838e-05    6.17035323e-07    -2.43012456e-05   4.48586945e-04    1.30608613e-07    1.26490610e-08    -7.88346626e-08   6.05538257e-07    -2.30666797e-03   2.14332778e-04    
6.82214554e+00    -4.58007243e-10   1.76366505e-10    2.14447086e-02    -1.79247609e-03   6.76207479e-03    3.80294477e-04    2.44843521e-05    3.72117256e-05    7.54278612e-06    -2.93006273e-05   4.30295671e-04    5.70726335e-06    1.59635539e-07    -8.43932999e-08   7.86328668e-07    -2.91796415e-03   7.57066336e-04    
6.87314662e+00    -3.87531073e-10   1.55547827e-10    1.99231783e-02    -1.56019002e-03   6.41745852e-03    3.39814598e-04    2.42241526e-05    3.22374902e-05    6.68812600e-06    -2.54381044e-05   4.12489502e-04    5.04165791e-06    1.44200148e-07    -8.49983276e-08   6.93479524e-07    -2.46896046e-03   6.67700613e-04    
6.91814758e+00    -3.32837769e-10   1.58587720e-10    1.82818385e-02    -1.37317371e-03   6.00079630e-03    3.48856929e-04    2.01271616e-05    2.85732339e-05    7.32159618e-06    -2.25490801e-05   3.89192033e-04    5.60234088e-06    1.60153122e-07    -7.17129890e-08   6.25399016e-07    -2.12050942e-03   6.80749579e-04    
7.12815206e+00    -4.93103619e-10   1.79381153e-10    1.82360392e-02    -1.89773046e-03   5.69104638e-03    3.79882966e-04    9.15680680e-06    4.02597747e-05    8.22665992e-06    -3.23069781e-05   3.84020738e-04    6.42930874e-06    1.92901358e-07    -3.45631375e-08   9.48112812e-07    -3.14156316e-03   7.70006934e-04    
7.33815654e+00    -4.90084452e-10   3.29178309e-10    1.82386947e-02    -1.81543044e-03   5.44114290e-03    7.47640733e-04    1.36083384e-05    3.80448679e-05    1.61843149e-05    -3.00752229e-05   3.80329379e-04    1.27114276e-05    4.09307661e-07    -5.54718408e-08   9.64384206e-07    -3.12232804e-03   1.41302237e-03    
7.42215834e+00    -4.13051017e-10   3.35010918e-10    1.70879116e-02    -1.52745122e-03   5.10698113e-03    7.79331199e-04    1.20916124e-05    3.23012955e-05    1.67022436e-05    -2.53992985e-05   3.61754638e-04    1.30842139e-05    4.34073474e-07    -5.06875269e-08   8.41131655e-07    -2.63154803e-03   1.43805928e-03    
7.44615885e+00    -3.74610203e-10   2.95687723e-10    1.56031821e-02    -1.43217386e-03   4.76902288e-03    7.15279126e-04    1.10865758e-05    3.02183543e-05    1.50239415e-05    -2.39534536e-05   3.39141995e-04    1.18378618e-05    3.92458939e-07    -4.67937864e-08   7.90557578e-07    -2.38664161e-03   1.26926153e-03    
