#timestamp [ns]	latitude [deg]	longitude [deg]	altitude [m]	v_x [m s^-1]	v_y [m s^-1]	v_z [m s^-1]
00:00:00.000000000	47.641467999997424	-122.140165	123.64349365234375	0.0	0.49481451511383057	0.0
00:00:00.048001024	47.64146799999743	-122.140165	123.68378448486328	0.0	-0.029898112639784813	0.0
00:00:00.090001920	47.641467999997424	-122.140165	123.68193054199219	0.0	-0.06292345374822617	0.0
00:00:00.363007744	47.641467999997424	-122.140165	123.66353607177734	0.0	-0.04741045460104942	0.0
00:00:00.363007744	47.641467999997424	-122.140165	123.66353607177734	0.0	-0.04741045460104942	0.0
00:00:00.636013568	47.641467999997424	-122.140165	123.65565490722656	0.0	-0.013258459977805614	0.0
00:00:00.657014016	47.64146799999743	-122.140165	123.6553955078125	0.0	-0.011470150202512741	0.0
00:00:00.909019392	47.641467999997424	-122.140165	123.65457153320312	0.0	0.0035576228983700275	0.0
00:00:00.930019840	47.641467999997424	-122.140165	123.65465545654297	0.0	0.004379722755402327	0.0
00:00:01.182025216	47.641467999997424	-122.140165	123.65666961669922	0.0	0.010804906487464905	0.0
00:00:01.203025664	47.64146799999743	-122.140165	123.65689849853516	0.0	0.011113254353404045	0.0
00:00:01.455031040	47.641467999997424	-122.140165	123.65999603271484	0.0	0.013050573877990246	0.0
00:00:01.455031040	47.641467999997424	-122.140165	123.65999603271484	0.0	0.013050573877990246	0.0
00:00:01.728036864	47.641467999997424	-122.140165	123.66356658935547	0.0	0.012828173115849495	0.0
00:00:01.749037312	47.641467999997424	-122.140165	123.66383361816406	0.0	0.012753567658364773	0.0
00:00:02.022043136	47.641467999997424	-122.140165	123.66714477539062	0.0	0.011390576139092445	0.0
00:00:02.022043136	47.641467999997424	-122.140165	123.66714477539062	0.0	0.011390576139092445	0.0
00:00:02.316049408	47.641467999997424	-122.140165	123.67023468017578	0.0	0.009565365500748158	0.0
00:00:02.316049408	47.641467999997424	-122.140165	123.67023468017578	0.0	0.009565365500748158	0.0
00:00:02.610055680	47.641467999997424	-122.140165	123.67278289794922	0.0	0.007770424243062735	0.0
00:00:02.610055680	47.641467999997424	-122.140165	123.67278289794922	0.0	0.007770424243062735	0.0
00:00:02.883061504	47.641467999997424	-122.140165	123.6747055053711	0.0	0.00628505228087306	0.0
00:00:02.883061504	47.641467999997424	-122.140165	123.6747055053711	0.0	0.00628505228087306	0.0
00:00:03.156067328	47.641467999997424	-122.140165	123.6762466430664	0.0	0.005020589102059603	0.0
00:00:03.156067328	47.641467999997424	-122.140165	123.6762466430664	0.0	0.005020589102059603	0.0
00:00:03.408072704	47.641467999997424	-122.140165	123.6773910522461	0.0	0.004048421513289213	0.0
00:00:03.429073152	47.641467999997424	-122.140165	123.67747497558594	0.0	0.003975341096520424	0.0
00:00:03.681078528	47.641467999997424	-122.140165	123.67837524414062	0.0	0.0031864324118942022	0.0
00:00:03.681078528	47.641467999997424	-122.140165	123.67837524414062	0.0	0.0031864324118942022	0.0
00:00:03.933083904	47.641467999997424	-122.140165	123.67909240722656	0.0	0.0025436498690396547	0.0
00:00:03.954084352	47.641467999997424	-122.140165	123.67914581298828	0.0	0.0024960157461464405	0.0
00:00:04.185089280	47.641467999997424	-122.140165	123.63494873046875	0.0	-0.1176367700099945	0.0
00:00:04.206089728	47.641467999997424	-122.140165	123.6326904296875	0.0	-0.0917954072356224	0.0
00:00:04.416094208	47.641467999997424	-122.140165	123.62357330322266	0.0	-0.019835513085126877	0.0
00:00:04.437094656	47.64146799999743	-122.140165	123.62317657470703	0.0	-0.01769351214170456	0.0
00:00:04.647099136	47.641467999997424	-122.140165	123.62107849121094	0.0	-0.0034898577723652124	0.0
00:00:04.647099136	47.641467999997424	-122.140165	123.62107849121094	0.0	-0.0034898577723652124	0.0
