#timestamp [ns]	w_RS_S_x [rad s^-1]	w_RS_S_y [rad s^-1]	w_RS_S_z [rad s^-1]	a_RS_S_x [m s^-2]	a_RS_S_y [m s^-2]	a_RS_S_z [m s^-2]
00:00:00.006000128	0.0006007137428423058	-0.0010709548369050026	-0.0006166365346871316	-0.06237608194351196	9.425310134887695	-0.05388564243912697
00:00:00.258005504	-0.0005836711646517886	-0.0018258909741171345	-0.0027147431392222643	-0.027761176228523254	9.979169845581055	-0.039562106132507324
00:00:00.297006336	-0.0015035977269983068	-0.00018821986040442142	0.00023863909882493317	-0.010919674299657345	9.952235221862793	0.0219234861433506
00:00:00.321006848	0.0012303193649748191	-0.0002167808753193066	-0.002183053642511368	-0.03807425871491432	10.022910118103027	0.030206987634301186
00:00:00.327006976	-0.0006898852446576728	0.0005258191912680223	-0.0019413995323702693	0.03461369499564171	10.013123512268066	-0.049756575375795364
00:00:00.333007104	-0.0012661458607291952	0.0019189125113434448	0.000852002005558461	0.04802030697464943	9.932183265686035	0.015468336641788483
00:00:00.585012480	0.00022929614321383102	0.0016303089168167963	0.00030108066857792437	-0.013318976387381554	9.930644989013672	-0.04440326988697052
00:00:00.591012608	0.001377898719208859	0.002726105386415805	0.0012071410892531276	-0.010496499016880989	9.986867904663086	-0.03132837265729904
00:00:00.600012800	-0.0010524178072339073	-0.0013434591283776507	-0.0017929093446582556	-0.0172357689589262	9.90909194946289	-0.04321269318461418
00:00:00.606012928	0.00031518311849849684	0.0010546487709752574	-0.0018893680535256863	0.07844153791666031	9.91025161743164	-0.04384130984544754
00:00:00.612013056	-0.0029486175775056854	0.0003543084266375109	0.0012184077640995383	-0.009957949630916119	9.910908699035645	-0.008754592388868332
00:00:00.618013184	0.00032305561732555194	-0.0014200479537003383	-0.00023818350746296346	-0.0695766732096672	9.922710418701172	0.022004766389727592
00:00:00.858018304	-0.000479538648807831	0.002023120289692964	-0.0033405947033315897	-0.021264247596263885	9.885322570800781	-0.03369881585240364
00:00:00.864018432	-5.389198516441125e-05	-0.0016612360533081636	0.002074871212244034	0.09189315140247345	9.814784049987793	0.04331529885530472
00:00:00.870018560	-1.585310413447757e-05	0.0010273113684042647	-0.00038491346640512347	-0.0017805753741413355	9.809060096740723	0.033597320318222046
00:00:00.885018880	0.0034525287189060673	0.001158142923401977	-0.002094113966450095	-0.019243264570832253	9.838574409484863	0.008605949580669403
00:00:00.891019008	-0.0020754714644974246	-0.0022709748055540664	0.0011854866752400994	-0.0828225314617157	9.869965553283691	-0.06955161690711975
00:00:00.897019136	-0.0016524546229740754	0.0005208771571296557	-0.002376500517129898	-0.001547701540403068	9.843160629272461	0.07259055972099304
00:00:01.131024128	0.003120443070354484	-0.0016253696568065033	0.00020340087939985096	0.027336062863469124	9.809150695800781	0.06489215046167374
00:00:01.137024256	-0.0006752375196194424	-0.0008923360192903027	0.0037418631836771965	-0.10555465519428253	9.76733112335205	0.05096714198589325
00:00:01.143024384	0.0033338917270773873	0.0009345034440293267	-0.0007293203962035477	0.031641747802495956	9.908464431762695	0.03451242297887802
00:00:01.149024512	0.0005013851474976019	0.0002344024059375107	-0.0010335879633203149	0.0008740925113670528	9.924365043640137	-0.04955120012164116
00:00:01.161024768	0.003096745567443393	0.0002254225209134921	-0.0009349965257570148	0.03387123718857765	9.77627944946289	-0.01678096316754818
00:00:01.404029952	0.0003114981370052175	0.0010786264855659857	0.00084606499876827	-0.032163139432668686	9.795132637023926	-0.03272567316889763
00:00:01.416030208	-0.001556188814294912	-0.001353641045255278	-0.0004255411331541836	0.04132460430264473	9.83263111114502	-0.01229920145124197
00:00:01.425030400	0.0007200221731798576	0.0017529348796478763	-0.0022040572948753834	-0.0061983997002244	9.80815315246582	0.003301984630525112
00:00:01.434030592	0.0025856175777042136	0.0010637653712428465	0.0003934385604225099	0.021078508347272873	9.825235366821289	-0.09559131413698196
00:00:01.440030720	0.0007540203365968393	-0.0005521540343516216	0.0010843188501894474	0.0033142247702926397	9.774206161499023	-0.050021614879369736
00:00:01.446030848	0.0007659924300858603	-0.002000057725211297	0.0021014439407736063	-0.08922560513019562	9.804627418518066	-0.04063010215759277
00:00:01.665035520	-0.004291510224295236	-0.0005592008866124496	0.001124944887124002	0.07883308082818985	9.786544799804688	0.04395976662635803
00:00:01.671035648	0.00020398588064181073	-0.0009174024499707565	-0.0036294523160904646	-0.0194840244948864	9.746809005737305	-0.020899178460240364
00:00:01.677035776	-0.00025666038012077646	-0.0007259556487888739	-0.0001132209727074951	0.06285026669502258	9.755803108215332	0.02441025711596012
00:00:01.686035968	0.0031847825590992198	0.0010005512112065509	0.001229186076670885	0.0692044198513031	9.785101890563965	0.07747555524110794
00:00:01.692036096	-0.0009544679345091953	-0.0013237108988442168	-0.00024617192684672773	-0.0624556764960289	9.788582801818848	0.00888792984187603
00:00:01.941041408	0.0007947321134159194	-0.003843226358269964	0.0015611599665135145	0.08440480381250381	9.795034408569336	0.006634166929870844
00:00:01.959041792	0.0010763497408950553	-0.00021095379369675074	0.00033331880695186555	-0.049236662685871124	9.82381534576416	0.03584256395697594
00:00:01.974042112	0.000402063407516651	0.0022015381790942805	0.0007731136865913868	0.02300850860774517	9.764545440673828	0.014414247125387192
00:00:01.983042304	0.00019993285210857554	0.00032685879969627705	0.0006175919552333653	0.03699285909533501	9.76204776763916	0.026847492903470993
00:00:02.235047680	-0.002206386314657904	-0.000975988111434196	0.0017510490724816918	-0.009115259163081646	9.817948341369629	-0.014115923084318638
00:00:02.241047808	-0.000894204495427586	-7.604768788318042e-05	-0.0006584583315998316	0.060115110129117966	9.802785873413086	0.02637115679681301
00:00:02.250048000	-0.0007549705481616928	-0.0020732892490678174	0.00042657210724428296	0.04969163239002228	9.811692237854004	0.0413675531744957
00:00:02.259048192	-0.0015559781025624051	0.0020714617520815985	-0.003137005493044853	0.029841532930731773	9.853289604187012	0.018672078847885132
00:00:02.268048384	-0.0005010806638276352	-0.0009521745424472437	0.000804490118753165	0.015477514825761318	9.841524124145508	-0.003570885630324483
00:00:02.271048448	0.001314236069145225	-0.00039552519328302596	0.0005124552990309894	0.07678210735321045	9.658909797668457	0.03281109780073166
00:00:02.535054080	-0.0021469122878736034	0.000453154493613477	0.0026389462873339653	-0.026442915201187134	9.725102424621582	-0.03949783369898796
00:00:02.541054208	0.0010427738158503399	-8.815798091112528e-05	0.0005762034561485052	-0.028022797778248787	9.805438041687012	-0.030620358884334564
00:00:02.550054400	-0.0008693019775202646	-0.0014208343391992793	-0.0008558453409932554	-0.019575467333197594	9.845420837402344	-0.0069629354402422905
00:00:02.556054528	-0.001203601379831709	0.0012875015335402742	0.001200611237436533	0.041983865201473236	9.82227611541748	-0.0018923846073448658
00:00:02.559054592	-0.00032794369356652336	-0.0012003675848000393	-0.0018642916111275554	-0.004375465679913759	9.857311248779297	0.03160582482814789
00:00:02.565054720	0.001784167004796289	-0.0005364873842091009	-0.0026319727767258883	-0.034918881952762604	9.770879745483398	0.020285174250602722
00:00:02.826060288	0.004195120636420868	-0.002287215208610211	-0.0006183417863212526	0.06117366999387741	9.762909889221191	-0.01299966312944889
00:00:02.829060352	0.0024110968076163754	-0.002660002214809571	0.00019908933609258384	0.09187564253807068	9.775128364562988	-0.04267476499080658
00:00:02.844060672	-0.0013658441751724258	-0.0013098283717163548	4.416012961883098e-05	-0.013758227229118347	9.832075119018555	0.02445119246840477
00:00:02.850060800	-0.0032684754263138547	0.0006970060593693807	0.0014118871185928583	-0.04217526689171791	9.775811195373535	0.009004425257444382
00:00:03.102066176	-0.002915253411931373	0.0005757636926382139	-0.00017780016059987247	0.003096327418461442	9.790510177612305	-0.008597509004175663
00:00:03.108066304	-0.0008518068501254691	-0.0012306195031606302	-0.0006738523952662945	-0.012650853022933006	9.793744087219238	-0.0006468921201303601
00:00:03.114066432	0.0020296813305938468	-0.0022556142695002897	-0.001327640493400395	0.04859406128525734	9.771791458129883	-0.025209005922079086
00:00:03.126066688	-0.0017186140324449315	-6.236857470233816e-05	0.0012128212256357074	-0.02971106581389904	9.793230056762695	0.033926110714673996
00:00:03.132066816	0.00018611960664911581	-0.002082517258798395	3.6529049793898594e-06	0.026202665641903877	9.748732566833496	-0.017746780067682266
00:00:03.366071808	0.0004112359744502084	0.001410583611602272	-0.00047795195132493973	-0.006189490202814341	9.732093811035156	0.010135325603187084
00:00:03.372071936	-0.0006004599420813991	-0.002855807663848315	0.001565071172080934	-0.01967472955584526	9.718501091003418	0.023332560434937477
00:00:03.375072000	-0.0016356209674379006	-0.0016609543282293424	-0.0018442197469994426	0.02829120308160782	9.798001289367676	-0.03848297894001007
00:00:03.387072256	0.0006881591249728428	-0.0005687751155101404	-0.00027507523191161454	0.059074923396110535	9.84398078918457	-0.0007331992965191603
00:00:03.393072384	0.0005287695527547823	0.00043767282741733935	-0.0001405491930199787	-0.02528805285692215	9.783482551574707	0.03659413009881973
00:00:03.630077440	0.001140956286388062	0.002409556759545888	0.0004163578269071877	-0.03840235248208046	9.78839111328125	-0.052420854568481445
00:00:03.636077568	0.004358840625780247	-0.0005636946344502911	0.0010443145874887705	-0.031006615608930588	9.858087539672852	0.04761861264705658
00:00:03.648077824	0.0010676506059715376	-0.00024431682422167513	0.0009226033580489457	-0.036557167768478394	9.922207832336426	-0.01270531676709652
00:00:03.660078080	0.001954211955005847	0.0023192051984614985	-0.0007261401624418795	-0.05043172463774681	9.870540618896484	-0.010144798085093498
00:00:03.666078208	-0.00013327162044534074	-0.0015993475727491722	-0.0010142701212316751	-0.03168926760554314	9.7893705368042	-0.06093800067901611
00:00:03.672078336	-0.0010209987088566795	-0.0007280131731868431	-0.0006543128984048963	-0.03985084593296051	9.77396011352539	0.022207487374544144
00:00:03.891083008	-0.000910840244916655	0.0014326830813906446	-0.0031815492548048496	0.03725232556462288	9.791011810302734	-0.006772669032216072
00:00:03.900083200	-0.0015615031737363115	0.002103515313962783	0.0022298272233456373	-0.007355848792940378	9.797693252563477	-0.045980263501405716
