time           lon            lat            alt            heading        pitch          roll           vn             vh             ve             
0.25913000     -122.14016513  47.64146792    117.25817429   4.83195574     -0.00262738    0.00249350     -0.00113298    -0.11794221    -0.00013851    
0.26168000     -122.14016513  47.64146792    117.25787438   4.83155397     -0.00260611    0.00279247     -0.00100939    -0.11728095    -0.00029199    
0.26651600     -122.14016513  47.64146792    117.25731027   4.83141892     -0.00235394    0.00314602     -0.00085180    -0.11601344    -0.00051761    
0.27160700     -122.14016513  47.64146792    117.25672295   4.83157094     -0.00192338    0.00286217     -0.00081596    -0.11471658    -0.00046956    
0.27642000     -122.14016513  47.64146792    117.25617323   4.83201962     -0.00149817    0.00260986     -0.00072136    -0.11371441    -0.00040529    
0.28151800     -122.14016513  47.64146792    117.25559588   4.83286717     -0.00197576    0.00322687     -0.00072619    -0.11278680    -0.00059875    
0.28646300     -122.14016513  47.64146792    117.25504037   4.83347948     -0.00261820    0.00288193     -0.00084306    -0.11188660    -0.00066098    
0.29107700     -122.14016513  47.64146792    117.25452602   4.83325017     -0.00337842    0.00303184     -0.00098241    -0.11106920    -0.00063279    
0.29842700     -122.14016513  47.64146792    117.25371522   4.83192564     -0.00355407    0.00279169     -0.00133178    -0.10955452    -0.00072079    
0.30500100     -122.14016513  47.64146792    117.24800622   4.86387836     -0.00315745    0.00226308     -0.00107335    -0.12721878    -0.00046184    
0.30852400     -122.14016513  47.64146792    117.24759294   4.86372562     -0.00304470    0.00197093     -0.00109606    -0.12654027    -0.00040834    
0.31352600     -122.14016513  47.64146792    117.24696248   4.86320734     -0.00240087    0.00226947     -0.00117850    -0.12554029    -0.00036823    
0.31857900     -122.14016513  47.64146792    117.24633059   4.86310988     -0.00194605    0.00233980     -0.00124703    -0.12456555    -0.00026073    
0.32133000     -122.14016513  47.64146792    117.24598845   4.86313196     -0.00180021    0.00212876     -0.00125711    -0.12417388    -0.00013690    
0.32642600     -122.14016513  47.64146792    117.24535749   4.86296682     -0.00227711    0.00198463     -0.00143372    -0.12345660    -0.00005755    
0.33256000     -122.14016513  47.64146792    117.24460275   4.86338323     -0.00285482    0.00204730     -0.00174979    -0.12262531    -0.00023868    
0.33663600     -122.14016513  47.64146792    117.24410425   4.86331230     -0.00311628    0.00199845     -0.00183893    -0.12198104    -0.00034330    
0.34138100     -122.14016513  47.64146792    117.24352717   4.86270238     -0.00275645    0.00291108     -0.00178549    -0.12125374    -0.00061722    
0.34738800     -122.14016513  47.64146792    117.24280139   4.86230997     -0.00276224    0.00318275     -0.00154971    -0.12039114    -0.00092142    
0.35290600     -122.14016513  47.64146792    117.24213945   4.86225142     -0.00299286    0.00308450     -0.00143144    -0.11953037    -0.00097520    
0.35842600     -122.14016513  47.64146792    117.24148196   4.86205255     -0.00314382    0.00246342     -0.00152583    -0.11869111    -0.00095088    
0.36144600     -122.14016513  47.64146792    117.24112422   4.86202063     -0.00302495    0.00202111     -0.00162949    -0.11822308    -0.00083942    
0.36847400     -122.14016513  47.64146792    117.24029686   4.86229823     -0.00217561    0.00094897     -0.00171938    -0.11722175    -0.00057349    
0.37376800     -122.14016513  47.64146792    117.23967831   4.86275314     -0.00182945    0.00035047     -0.00164711    -0.11645814    -0.00047960    
0.37732700     -122.14016513  47.64146792    117.23926464   4.86315815     -0.00160752    0.00030489     -0.00155775    -0.11600830    -0.00047497    
0.38396900     -122.14016513  47.64146792    117.23849673   4.86338354     -0.00155135    0.00187471     -0.00156926    -0.11522031    -0.00073301    
0.38752800     -122.14016513  47.64146792    117.23808748   4.86366593     -0.00218373    0.00195002     -0.00169863    -0.11475892    -0.00089211    
0.39414300     -122.14016513  47.64146792    117.23733112   4.86455631     -0.00350681    0.00133850     -0.00211314    -0.11392209    -0.00098090    
0.39614400     -122.14016513  47.64146792    117.23710343   4.86457692     -0.00345055    0.00123426     -0.00220838    -0.11365247    -0.00098027    
0.40166600     -122.14016513  47.64146792    117.23812810   4.88386303     -0.00380895    0.00179220     -0.00180664    -0.10547621    -0.00085418    
0.40722400     -122.14016513  47.64146792    117.23752299   4.88328519     -0.00345681    0.00182833     -0.00175234    -0.10479055    -0.00100509    
0.41143600     -122.14016513  47.64146792    117.23708291   4.88277695     -0.00340549    0.00138965     -0.00178916    -0.10417356    -0.00087646    
0.41767700     -122.14016513  47.64146792    117.23643574   4.88237703     -0.00364411    0.00165793     -0.00195879    -0.10321869    -0.00071755    
0.42247000     -122.14016513  47.64146792    117.23594293   4.88240989     -0.00409458    0.00167940     -0.00209744    -0.10242013    -0.00075750    
0.42806600     -122.14016513  47.64146792    117.23537170   4.88242645     -0.00431725    0.00136801     -0.00229726    -0.10173637    -0.00071930    
0.43162300     -122.14016513  47.64146792    117.23501032   4.88218302     -0.00447428    0.00124406     -0.00227167    -0.10145598    -0.00069865    
0.43878700     -122.14016513  47.64146792    117.23428530   4.88209556     -0.00600360    0.00196654     -0.00234025    -0.10094927    -0.00090296    
0.44289000     -122.14016513  47.64146792    117.23387172   4.88196664     -0.00592714    0.00247498     -0.00246329    -0.10065140    -0.00110763    
0.44804200     -122.14016513  47.64146792    117.23335427   4.88181100     -0.00597761    0.00190611     -0.00259143    -0.10022272    -0.00112920    
0.45157300     -122.14016513  47.64146792    117.23300086   4.88187583     -0.00616321    0.00147029     -0.00268386    -0.09995164    -0.00097298    
0.45808400     -122.14016513  47.64146792    117.23235253   4.88194344     -0.00627671    0.00165336     -0.00263845    -0.09919755    -0.00079329    
0.46127200     -122.14016513  47.64146792    117.23203701   4.88190139     -0.00639489    0.00186045     -0.00265909    -0.09874773    -0.00081423    
0.46687000     -122.14016513  47.64146792    117.23148698   4.88148973     -0.00687399    0.00178117     -0.00270643    -0.09775931    -0.00084321    
0.47218000     -122.14016513  47.64146792    117.23097003   4.88128328     -0.00748122    0.00223258     -0.00265656    -0.09695022    -0.00092813    
0.47829100     -122.14016513  47.64146792    117.23037921   4.88105117     -0.00822183    0.00265733     -0.00276830    -0.09641215    -0.00106145    
0.48330400     -122.14016513  47.64146792    117.22989697   4.88123060     -0.00934074    0.00265232     -0.00305563    -0.09598249    -0.00116597    
0.48859000     -122.14016513  47.64146792    117.22939055   4.88150722     -0.00985051    0.00270604     -0.00324409    -0.09562702    -0.00140836    
0.49359100     -122.14016513  47.64146792    117.22891309   4.88170602     -0.00973951    0.00230442     -0.00322385    -0.09532028    -0.00143300    
0.49810700     -122.14016513  47.64146792    117.22848337   4.88221372     -0.00913400    0.00252539     -0.00309487    -0.09498922    -0.00131009    
0.50410900     -122.14016513  47.64146792    117.23067319   4.89562583     -0.00903859    0.00383354     -0.00223659    -0.08610716    -0.00122826    
0.50610900     -122.14016513  47.64146792    117.23049254   4.89568331     -0.00886148    0.00368438     -0.00211444    -0.08603218    -0.00128117    
0.51261000     -122.14016513  47.64146792    117.22993360   4.89564160     -0.00862016    0.00258030     -0.00191355    -0.08592516    -0.00092081    
0.51614500     -122.14016513  47.64146792    117.22963023   4.89536581     -0.00882536    0.00287170     -0.00195015    -0.08571342    -0.00076028    
0.52359500     -122.14016513  47.64146792    117.22899506   4.89513873     -0.00816639    0.00435002     -0.00206267    -0.08480032    -0.00088733    
0.52715200     -122.14016513  47.64146792    117.22869411   4.89512814     -0.00778712    0.00477075     -0.00202254    -0.08441714    -0.00097825    
0.53275100     -122.14016513  47.64146792    117.22822230   4.89491914     -0.00774276    0.00455580     -0.00197556    -0.08411430    -0.00090304    
0.53816400     -122.14016513  47.64146792    117.22776754   4.89479759     -0.00761004    0.00400111     -0.00188645    -0.08391172    -0.00072416    
0.54121200     -122.14016513  47.64146792    117.22751216   4.89480172     -0.00711826    0.00387722     -0.00170254    -0.08366049    -0.00074409    
0.54826700     -122.14016513  47.64146792    117.22692409   4.89470817     -0.00697969    0.00441626     -0.00150304    -0.08305108    -0.00111336    
0.55380100     -122.14016513  47.64146792    117.22646558   4.89447480     -0.00727890    0.00483775     -0.00169776    -0.08265487    -0.00147739    
0.55733300     -122.14016513  47.64146792    117.22617427   4.89445405     -0.00690694    0.00482646     -0.00162626    -0.08229891    -0.00157429    
