# time_s	timestamp_ns	roll	pitch	yaw
0.002998	1785413104913943040	0.0000000000	0.0000000000	0.8831331711
0.008561	1785413104919943168	0.0000000000	0.0000000000	0.8831331711
0.012828	1785413104922943232	0.0000000000	0.0000000000	0.8831331711
0.020809	1785413104928943360	0.0000000000	0.0000000000	0.8831331711
0.022638	1785413104934943488	0.0000000000	0.0000000000	0.8831331711
0.028248	1785413104940943616	0.0000000000	0.0000000000	0.8831331711
0.034415	1785413104943943680	0.0000000000	0.0000000000	0.8831331711
0.037922	1785413104949943808	0.0000000000	0.0000000000	0.8831331711
0.043317	1785413104955943936	0.0000000000	0.0000000000	0.8831331711
0.048503	1785413104958944000	0.0000000000	0.0000000000	0.8831331711
0.052974	1785413104964944128	0.0000000000	0.0000000000	0.8831331711
0.058511	1785413104967944192	0.0000000000	0.0000000000	0.8831331711
0.063921	1785413104973944320	0.0000000000	0.0000000000	0.8831331711
0.068180	1785413104979944448	0.0000000000	0.0000000000	0.8831331711
0.073119	1785413104982944512	0.0000000000	0.0000000000	0.8831331711
0.078794	1785413104988944640	0.0000000000	0.0000000000	0.8831331711
0.103436	1785413105015945216	0.0000000000	0.0000000000	0.8831331711
0.106611	1785413105015945216	0.0000000000	0.0000000000	0.8831331711
0.108532	1785413105018945280	0.0000000000	0.0000000000	0.8831331711
0.110556	1785413105021945344	0.0000000000	0.0000000000	0.8831331711
0.112818	1785413105024945408	0.0000000000	0.0000000000	0.8831331711
0.115618	1785413105024945408	0.0000000000	0.0000000000	0.8831331711
0.116623	1785413105027945472	0.0000000000	0.0000000000	0.8831331711
0.119486	1785413105030945536	0.0000000000	0.0000000000	0.8831331711
0.123520	1785413105033945600	0.0000000000	0.0000000000	0.8831331711
0.128254	1785413105039945728	0.0000000000	0.0000000000	0.8831331711
0.132830	1785413105042945792	0.0000000000	0.0000000000	0.8831331711
0.138620	1785413105048945920	0.0000000000	0.0000000000	0.8831331711
0.142538	1785413105051945984	0.0000000000	0.0000000000	0.8831331711
0.148091	1785413105057946112	0.0000000000	0.0000000000	0.8831331711
0.153499	1785413105063946240	0.0000000000	0.0000000000	0.8831331711
0.159004	1785413105069946368	0.0000000000	0.0000000000	0.8831331711
0.163248	1785413105075946496	0.0000000000	0.0000000000	0.8831331711
0.168495	1785413105078946560	0.0000000000	0.0000000000	0.8831331711
0.173019	1785413105084946688	0.0000000000	0.0000000000	0.8831331711
0.179008	1785413105090946816	0.0000000000	0.0000000000	0.8831331711
0.183190	1785413105093946880	0.0000000000	0.0000000000	0.8831331711
0.189907	1785413105099947008	0.0000000000	0.0000000000	0.8831331711
0.215512	1785413105126947584	0.0000000000	0.0000000000	0.8831331711
0.217538	1785413105126947584	0.0000000000	0.0000000000	0.8831331711
