# time_s	timestamp_ns	latitude	longitude	altitude	vx	vy	vz
0.001998	1785413104685938176	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.007362	1785413104706938624	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.011822	1785413104706938624	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.017481	1785413104706938624	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.021632	1785413104706938624	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.028248	1785413104727939072	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.032343	1785413104727939072	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.036913	1785413104727939072	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.043317	1785413104727939072	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.047333	1785413104748939520	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.051965	1785413104748939520	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.057506	1785413104748939520	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.062914	1785413104748939520	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.067174	1785413104748939520	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.072068	1785413104769939968	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.077788	1785413104769939968	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.103436	1785413104790940416	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.105436	1785413104790940416	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.107526	1785413104790940416	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.109549	1785413104811940864	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.111812	1785413104811940864	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.114105	1785413104811940864	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.116623	1785413104811940864	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.118479	1785413104811940864	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.122514	1785413104811940864	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.127249	1785413104811940864	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.131816	1785413104832941312	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.137614	1785413104832941312	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.141528	1785413104832941312	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.146879	1785413104832941312	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
0.152406	1785413104853941760	47.64146792282223	-122.14016513120112	116.98871612548828	0.0	-0.0	0.0
